"season","event_date","nano","market","name","alias","exp_pts","exp_pts_off","exp_pts_off_pass","exp_pts_off_rush","exp_pts_off_turnover","exp_pts_def","exp_pts_def_pass","exp_pts_def_rush","exp_pts_def_turnover","exp_pts_st","exp_pts_kickoff","exp_pts_kick_return","exp_pts_punt","exp_pts_punt_return","exp_pts_fg_xp","boxscore_stats_link"
2024,"2025-01-05","mfbu6O5aMHbJg","Miami","Dolphins","MIA",-11,-4.67,-9.15,3.75,-14.79,-9.16,-3.36,-6.13,4.44,4.05,-4.24,8.54,0.81,-1.57,0.51,"https://www.pro-football-reference.com/boxscores/202501050nyj.htm"
2024,"2025-01-05","n8CuHV9wbYCqF","New York","Giants","NYG",-3.22,-6.93,-8.45,2.85,-3.28,-2.77,-7.35,9.87,0,2.71,-5.14,4.7,1.51,-2.9,4.54,"https://www.pro-football-reference.com/boxscores/202501050phi.htm"
2024,"2025-01-05","oiGiwWPf0UqMC","Kansas City","Chiefs","KC",-38,-12.77,-7.75,-4.03,0,-31.94,-25.54,-6.73,0,6.98,-0.94,6.91,4.17,-1.3,-1.86,"https://www.pro-football-reference.com/boxscores/202501050den.htm"
2024,"2025-01-05","u98I1lDKQBwZ0","Los Angeles","Rams","LAR",-5,7.91,8.56,2,-3.02,-13.35,-14.02,-2.67,0,1.29,-5.44,6.56,1,-3.09,2.26,"https://www.pro-football-reference.com/boxscores/202501050ram.htm"
2024,"2025-01-11","SjaMbkmeizJD4","Los Angeles","Chargers","LAC",-17,-21.81,-17.78,-4.03,-20.5,-0.59,-0.56,-0.36,10.81,6.04,-3.49,6.64,2.41,-0.83,1.31,"https://www.pro-football-reference.com/boxscores/202501110htx.htm"
2024,"2025-01-11","SlVgURDFI7EXX","Pittsburgh","Steelers","PIT",-14,2.8,6.05,-2.24,0,-26.45,-10.91,-16.84,0,5.97,-2.82,3.97,5.33,-0.51,0,"https://www.pro-football-reference.com/boxscores/202501110rav.htm"
2024,"2025-01-11","UI0Ax4HUEXFh6","Houston","Texans","HOU",17,0.59,0.56,0.36,-10.81,21.81,17.78,4.03,20.5,-6.04,-6.64,3.49,0.83,-2.41,-1.31,"https://www.pro-football-reference.com/boxscores/202501110htx.htm"
2024,"2025-01-11","zyhFXj1nywrm1","Baltimore","Ravens","BAL",14,26.45,10.91,16.84,0,-2.8,-6.05,2.24,0,-5.97,-3.97,2.82,0.51,-5.33,0,"https://www.pro-football-reference.com/boxscores/202501110rav.htm"
2024,"2025-01-12","3VqeLK0LS9rpw","Buffalo","Bills","BUF",23,22.62,18.69,5.28,0,2.04,2,-0.62,0,-0.62,-5.59,2.47,1.1,-1.35,2.75,"https://www.pro-football-reference.com/boxscores/202501120buf.htm"
2024,"2025-01-12","6DclFuycdPaOB","Denver","Broncos","DEN",-23,-2.04,-2,0.62,0,-22.62,-18.69,-5.28,0,0.62,-2.47,5.59,1.35,-1.1,-2.75,"https://www.pro-football-reference.com/boxscores/202501120buf.htm"
2024,"2025-01-12","9JtBk8kFeaGEs","Washington","Football Team","WAS",3,11.83,18.52,-6,0,-7.96,-14.57,5.52,4.49,-0.88,-3.97,4.63,0,-0.75,-0.79,"https://www.pro-football-reference.com/boxscores/202501120tam.htm"
2024,"2025-01-12","D5QY6bOxfn8ZL","Green Bay","Packers","GB",-12,-3.29,-2.88,0.94,-8.85,-3.17,-1.81,-2.02,0,-7.38,-2.62,-1.46,1.54,-1.74,-3.1,"https://www.pro-football-reference.com/boxscores/202501120phi.htm"
2024,"2025-01-12","QMAZH1v922YLu","Tampa Bay","Buccaneers","TB",-3,7.96,14.57,-5.52,-4.49,-11.83,-18.52,6,0,0.88,-4.63,3.97,0.75,0,0.79,"https://www.pro-football-reference.com/boxscores/202501120tam.htm"
2024,"2025-01-12","hjjmgzxilGWdr","Philadelphia","Eagles","PHI",12,3.17,1.81,2.02,0,3.29,2.88,-0.94,8.85,7.38,1.46,2.62,1.74,-1.54,3.1,"https://www.pro-football-reference.com/boxscores/202501120phi.htm"
2024,"2025-01-13","AzOs5UWsXusSW","Minnesota","Vikings","MIN",-19,-21.02,-22.3,3.28,-12.17,-2.78,-3.5,3.21,0,1.73,-2.82,5.71,3.62,-3.45,-1.33,"https://www.pro-football-reference.com/boxscores/202501130ram.htm"
2024,"2025-01-13","u98I1lDKQBwZ0","Los Angeles","Rams","LAR",19,2.78,3.5,-3.21,0,21.02,22.3,-3.28,12.17,-1.73,-5.71,2.82,3.45,-3.62,1.33,"https://www.pro-football-reference.com/boxscores/202501130ram.htm"
2024,"2025-01-18","9JtBk8kFeaGEs","Washington","Football Team","WAS",14,27.77,23.49,1.55,0,-13.75,2.14,-16.75,19.83,-1.72,-6.46,6.3,0.9,-0.63,-1.83,"https://www.pro-football-reference.com/boxscores/202501180det.htm"
